name,description,income_type,niche,default_amount,currency,status
Website Design - Small,"1-3 pages, single template, no custom features (landing page, simple brochure site)",one-time,General,20000,KES,active
Website Design - Medium,"5-7 pages, custom design, contact/inquiry forms, basic SEO setup",one-time,General,40000,KES,active
Website Design - Large,"Multi-section site with custom features - listings, booking, ordering, admin panel, integrations",one-time,General,70000,KES,active
Logo & Brand Identity,Logo plus basic brand kit,one-time,General,7500,KES,active
POS Setup & eTIMS Fiscalization,Rack POS deployment plus KRA eTIMS integration,one-time,Retail/Restaurant,30000,KES,active
ISP Billing System Build,Custom billing platform setup for an ISP,one-time,ISP,80000,KES,active
Custom SaaS/Software Build,Bespoke platform project,one-time,General,150000,KES,active
Server Restoration / Emergency Fix,Urgent recovery or fix work,one-time,General,25000,KES,active
Social Media Marketing (Monthly),Ongoing social media management,recurring,General,15000,KES,active
Website Maintenance Retainer,"Monthly updates, security, and backups",recurring,General,5000,KES,active
Domain & Hosting Renewal,"Annual renewal, billed upfront",recurring,General,8000,KES,active
Octane Orbit Subscription,Fuel station forecourt management SaaS - per station monthly,recurring,Fuel Stations,20000,KES,active
AssetGuard Subscription,GPS asset tracking SaaS - per fleet monthly,recurring,Logistics,12000,KES,active
Construction PM SaaS,Project management/construction site SaaS - per site monthly,recurring,Construction,15000,KES,active
Content Studio / Marketing Assets,Marketing asset production and content packages,one-time,General,10000,KES,active
